NUMBER,MAG_APER,MAGERR_APER,MAG_AUTO,MAGERR_AUTO,MAG_BEST,MAGERR_BEST,KRON_RADIUS,BACKGROUND,THRESHOLD,ISOAREA_IMAGE,ISOAREAF_IMAGE,ALPHAPEAK_J2000,DELTAPEAK_J2000,X_IMAGE,Y_IMAGE,FWHM_IMAGE,FWHM_WORLD,ELONGATION,ELLIPTICITY,CLASS_STAR,FLUX_RADIUS,FILE_NAME,CLASS_OBJECT
4238,-15.1915,0.0008,-16.1613,0.0006,-16.1613,0.0006,3.5,4520.708,147.3241,595,642,148.9027863,69.2130191,1810.446,1972.805,6.15,0.000319394,1.071,0.067,1.0,2.805,dataset\i23.cat,star
268,-15.1868,0.0008,-16.2097,0.0006,-16.2097,0.0006,3.5,5191.354,147.3241,642,710,149.0115277,69.1179005,1067.851,141.421,6.75,0.0003504656,1.071,0.066,0.99,2.881,dataset\i23.cat,star
4479,-15.1632,0.0008,-15.9936,0.0007,-15.9936,0.0007,3.5,4405.938,147.3241,510,544,148.8818247,69.2430258,1953.578,2551.119,4.81,0.0002496778,1.126,0.112,1.0,2.622,dataset\i23.cat,star
186,-15.1525,0.0008,-15.986,0.0007,-15.986,0.0007,3.5,4428.384,147.3241,492,524,149.1325869,69.1124564,237.613,35.977,5.69,0.0002957132,1.17,0.146,1.0,2.626,dataset\i23.cat,star
3563,-15.1499,0.0008,-16.0009,0.0007,-16.0009,0.0007,3.5,4289.885,147.3241,497,525,149.0929172,69.1787543,510.74,1312.504,5.64,0.000293151,1.002,0.002,1.0,2.627,dataset\i23.cat,star
4371,-15.1412,0.0008,-15.9733,0.0007,-15.9733,0.0007,3.5,4449.476,147.3241,517,553,148.8839713,69.2269261,1938.762,2241.381,5.51,0.0002861936,1.077,0.072,1.0,2.62,dataset\i23.cat,star
4770,-15.1206,0.0008,-15.8241,0.0008,-15.8241,0.0008,3.5,4382.867,147.3241,421,445,148.9641301,69.3365081,1390.259,4349.749,5.1,0.0002647854,1.023,0.022,1.0,2.434,dataset\i23.cat,star
4587,-15.0997,0.0009,-15.7862,0.0008,-15.7862,0.0008,3.5,4341.377,147.3241,413,437,148.9999358,69.2659798,1147.184,2991.844,5.01,0.0002604417,1.059,0.056,1.0,2.401,dataset\i23.cat,star
1219,-15.0896,0.0009,-15.8227,0.0008,-15.8227,0.0008,3.5,4748.729,147.3241,478,582,149.0618349,69.1333711,723.583,438.613,5.05,0.0002620663,1.07,0.066,1.0,2.48,dataset\i23.cat,star
4692,-14.9766,0.0009,-15.5628,0.0009,-15.5628,0.0009,3.5,4347.169,147.3241,351,375,149.0552902,69.288205,770.417,3420.247,4.3,0.0002231789,1.026,0.025,1.0,2.202,dataset\i23.cat,star
4781,-14.9673,0.0009,-15.5559,0.0009,-15.5559,0.0009,3.5,4397.116,147.3241,340,359,149.0146124,69.3086228,1047.131,3813.231,3.7,0.0001922641,1.021,0.02,1.0,2.235,dataset\i23.cat,star
1124,-14.8873,0.0009,-15.4649,0.001,-15.4649,0.001,3.5,4337.742,147.3241,435,465,149.1364641,69.1281393,210.805,338.432,3.98,0.0002069869,1.178,0.151,1.0,2.188,dataset\i23.cat,star
4788,-14.8827,0.001,-15.4279,0.0009,-15.4279,0.0009,3.5,4395.563,147.3241,322,342,148.9080303,69.31015,1772.426,3842.438,3.52,0.000182738,1.037,0.035,0.99,2.108,dataset\i23.cat,star
3181,-14.8148,0.001,-15.364,0.001,-15.364,0.001,3.5,4950.608,147.3241,335,360,148.9062367,69.1655484,1788.565,1058.405,3.94,0.0002045237,1.087,0.08,0.99,2.106,dataset\i23.cat,star
3089,-14.7829,0.001,-15.3134,0.001,-15.3134,0.001,3.5,4913.86,147.3241,352,419,148.9322366,69.1639522,1611.196,1028.129,3.74,0.0001943801,1.132,0.116,1.0,2.102,dataset\i23.cat,star
4796,-14.6684,0.0011,-15.1544,0.0011,-15.1544,0.0011,3.5,4358.709,147.3241,220,230,149.1466492,69.3136086,148.649,3910.194,3.59,0.0001867022,1.014,0.014,0.99,2.02,dataset\i23.cat,star
3287,-14.6157,0.0011,-15.1204,0.0011,-15.1204,0.0011,3.5,4599.414,147.3241,280,311,149.0147402,69.1682296,1046.388,1110.361,3.46,0.0001797195,1.047,0.045,0.99,2.02,dataset\i23.cat,star
4752,-11.4079,0.0089,-20.5178,0.0002,-20.5178,0.0002,3.5,2125.344,147.3241,141197,143538,148.8652038,69.2953161,2049.628,4004.694,1109.1,0.05761184,5.496,0.818,0.03,271.966,dataset\i23.cat,star
